score,MSP,MLS,Energy,Mahalanobis
MSP,1.0,0.9629077506624528,0.9614501132657456,0.6849924251933562
MLS,0.9629077506624528,1.0,0.9998599312583049,0.5760534918985089
Energy,0.9614501132657457,0.9998599312583049,1.0,0.5742488684153327
Mahalanobis,0.6849924251933562,0.5760534918985087,0.5742488684153326,1.0
