lambda,mean src F1,worst src F1,source sep.,sharpness,sketch acc,sketch F1,best epoch
0.0,0.9542122508625229,0.9302495294490506,0.8504983388704319,0.30620913580060005,0.7419190633749045,0.7254294043807586,13
0.1,0.951085308082504,0.9209174777154442,0.8538205980066446,0.18795716762542725,0.7470094171544922,0.748420870710255,5
1.0,0.05066996495567924,0.04207792207792208,0.4219269102990033,0.010949015617370605,0.04072283023670145,0.011179820424134438,1
10.0,0.05066996495567924,0.04207792207792208,0.33222591362126247,0.007630348205566406,0.04072283023670145,0.011179820424134438,1
