method,photo acc,photo F1,art_painting acc,art_painting F1,cartoon acc,cartoon F1,mean src acc,mean src F1,worst src acc,worst src F1,sketch acc,sketch F1,sketch acc change,source sep.,sharpness
ERM,0.9760479041916168,0.9716483673701423,0.9292682926829269,0.9302495294490506,0.9552238805970149,0.9607388557683759,0.9535133591571863,0.9542122508625229,0.9292682926829269,0.9302495294490506,0.7419190633749045,0.7254294043807586,0.0,0.8504983388704319,0.30620913580060005
DAN-DG,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.04072283023670145,0.011179820424134438,-0.7011962331382031,0.4219269102990033,0.010949015617370605
SAM,0.9790419161676647,0.9750651011251469,0.9414634146341463,0.9417261408666411,0.9466950959488273,0.9527613318363498,0.9557334755835462,0.9565175246093792,0.9414634146341463,0.9417261408666411,0.695851361669636,0.709690393106379,-0.04606770170526853,0.8571428571428571,0.10225865244865417
