model,sees Sketch images,mean src F1,sketch acc,sketch F1
ERM (shared baseline),no,0.9542122508625229,0.7419190633749045,0.7254294043807586
"DAN, task 2 (lambda=1)","yes, unlabeled",0.9494988681941917,0.6271315856452023,0.6021319041962723
"DAN-DG, task 3 (lambda=1)",no,0.05066996495567924,0.04072283023670145,0.011179820424134438
