class,n_sketch,ERM,DAN (task 2),DAN-DG,SAM,DAN (task 2) change,DAN-DG change,SAM change
dog,772,0.2849740932642487,0.5349740932642487,0.0,0.22797927461139897,0.25,-0.2849740932642487,-0.05699481865284975
elephant,740,0.9405405405405406,0.5743243243243243,0.0,0.9864864864864865,-0.36621621621621625,-0.9405405405405406,0.04594594594594592
giraffe,753,0.6772908366533864,0.5590969455511288,0.0,0.7529880478087649,-0.11819389110225764,-0.6772908366533864,0.07569721115537853
guitar,608,0.9720394736842105,0.7911184210526315,0.0,0.9046052631578947,-0.18092105263157898,-0.9720394736842105,-0.06743421052631582
horse,816,0.883578431372549,0.6090686274509803,0.0,0.6764705882352942,-0.27450980392156865,-0.883578431372549,-0.20710784313725483
house,80,0.725,1.0,0.0,0.9,0.275,-0.725,0.17500000000000004
person,160,0.74375,0.91875,1.0,0.54375,0.17499999999999993,0.25625,-0.20000000000000007
