backbone,cue_conflict,grayscale,hue_rotation,patch_shuffle,translation_16px,translation_32px,translation_8px
resnet50,0.26654985547065735,0.7825629711151123,0.8261220455169678,0.7106029391288757,0.9505282342433929,0.9300180822610855,0.9670064896345139
vit_b16,0.2556062936782837,0.7410194277763367,0.7037879824638367,0.6595157980918884,0.9737635850906372,0.9411135315895081,0.9479028582572937
clip,0.664600670337677,0.8947920203208923,0.9008030295372009,0.7285483479499817,0.9674282073974609,0.9694579988718033,0.9806255102157593
