classifier,top1_acc,macro_f1,mean_max_conf
resnet50_head,0.978,0.9780357293461304,0.9723066091537476
vit_b16_head,0.974,0.973938393839384,0.9640794396400452
clip_head,0.984,0.9839784096056665,0.33503100275993347
clip_zeroshot,0.978,0.9778123342402166,0.9548328518867493
