method,true class,accuracy,most confused with,share of class
Source-only,dog,0.2849740932642487,horse,0.28886010362694303
Source-only,elephant,0.9405405405405406,person,0.021621621621621623
Source-only,giraffe,0.6772908366533864,horse,0.18326693227091634
Source-only,guitar,0.9720394736842105,elephant,0.02138157894736842
Source-only,horse,0.883578431372549,elephant,0.04779411764705882
Source-only,house,0.725,giraffe,0.175
Source-only,person,0.74375,giraffe,0.13125
DAN,dog,0.5349740932642487,person,0.344559585492228
DAN,elephant,0.5743243243243243,person,0.20810810810810812
DAN,giraffe,0.5590969455511288,person,0.27224435590969454
DAN,guitar,0.7911184210526315,person,0.14473684210526316
DAN,horse,0.6090686274509803,person,0.13357843137254902
DAN,house,1.0,nothing,0.0
DAN,person,0.91875,house,0.08125
DANN,dog,0.7137305699481865,elephant,0.09326424870466321
DANN,elephant,0.822972972972973,dog,0.13918918918918918
DANN,giraffe,0.7091633466135459,dog,0.14209827357237717
DANN,guitar,0.9588815789473685,person,0.03125
DANN,horse,0.6727941176470589,dog,0.12377450980392157
DANN,house,1.0,nothing,0.0
DANN,person,0.99375,dog,0.00625
CDAN,dog,0.7305699481865285,giraffe,0.15803108808290156
CDAN,elephant,0.6797297297297298,dog,0.1945945945945946
CDAN,giraffe,0.8313413014608234,dog,0.15803452855245684
CDAN,guitar,0.5016447368421053,giraffe,0.4128289473684211
CDAN,horse,0.08455882352941177,giraffe,0.5882352941176471
CDAN,house,1.0,nothing,0.0
CDAN,person,0.525,giraffe,0.3125
