lambda,mean src acc,mean src F1,domain sep.,target acc,target F1,best epoch
0.0,0.9535133591571863,0.9542122508625229,0.9958791208791209,0.7419190633749045,0.7254294043807586,13
0.1,0.9439670142267861,0.9452259600650122,0.9766483516483516,0.6866887248663782,0.6696269864308263,6
1.0,0.9495897071632386,0.9494988681941917,0.7980769230769231,0.6271315856452023,0.6021319041962723,6
10.0,0.21656837139595686,0.05066996495567924,0.5178571428571429,0.04072283023670145,0.011179820424134438,1
