method,photo acc,photo F1,art_painting acc,art_painting F1,cartoon acc,cartoon F1,mean src acc,mean src F1,target acc,target F1,target acc change,domain sep.
Source-only,0.9760479041916168,0.9716483673701423,0.9292682926829269,0.9302495294490506,0.9552238805970149,0.9607388557683759,0.9535133591571863,0.9542122508625229,0.7419190633749045,0.7254294043807586,0.0,0.9958791208791209
DAN,0.9700598802395209,0.9644043658432906,0.9341463414634147,0.9331059712850076,0.9445628997867804,0.950986267454277,0.9495897071632386,0.9494988681941917,0.6271315856452023,0.6021319041962723,-0.11478747772970221,0.7980769230769231
DANN,0.9640718562874252,0.95572883207337,0.9146341463414634,0.9171714781914374,0.9552238805970149,0.9598686230645143,0.9446432944086345,0.9442563111097738,0.7800967167218121,0.7552709872424942,0.03817765334690759,0.9876373626373627
CDAN,0.9670658682634731,0.9627638218848452,0.9,0.8991371926264806,0.9552238805970149,0.9564030484217838,0.9407632496201627,0.9394346876443699,0.5678289641130059,0.587497973565616,-0.17409009926189867,0.9972527472527473
