class,n_target,Source-only,DAN,DANN,CDAN,DAN change,DANN change,CDAN change
dog,772,0.2849740932642487,0.5349740932642487,0.7137305699481865,0.7305699481865285,0.25,0.4287564766839378,0.4455958549222798
elephant,740,0.9405405405405406,0.5743243243243243,0.822972972972973,0.6797297297297298,-0.36621621621621625,-0.11756756756756759,-0.2608108108108108
giraffe,753,0.6772908366533864,0.5590969455511288,0.7091633466135459,0.8313413014608234,-0.11819389110225764,0.031872509960159445,0.154050464807437
guitar,608,0.9720394736842105,0.7911184210526315,0.9588815789473685,0.5016447368421053,-0.18092105263157898,-0.013157894736842035,-0.4703947368421052
horse,816,0.883578431372549,0.6090686274509803,0.6727941176470589,0.08455882352941177,-0.27450980392156865,-0.2107843137254901,-0.7990196078431372
house,80,0.725,1.0,1.0,1.0,0.275,0.275,0.275
person,160,0.74375,0.91875,0.99375,0.525,0.17499999999999993,0.25,-0.21875
